Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Use of bacterial expression cloning to define the amino acid sequences of antigenic determinants on the G2 glycoprotein of Rift Valley fever virus.","/pubmed/2422392","Keegan K, Collett MS.","J Virol. 1986 May;58(2):263-70.","J Virol.  1986","PubMed","citation","PMID:2422392 | PMCID:PMC252909","pubmed","2422392","create date:1986/05/01 | first author:Keegan K",
"The plague of Athens.","/pubmed/3513014","[No authors listed]","N Engl J Med. 1986 Mar 27;314(13):855-6. No abstract available. ","N Engl J Med.  1986","PubMed","citation","PMID:3513014","pubmed","3513014","create date:1986/03/27",
"Rodenticide-induced signs simulating Rift Valley fever in sheep and goats in Egypt.","/pubmed/3962100","Feinsod FM, Allam I, Ragai A, Saah AJ.","Vet Rec. 1986 Mar 8;118(10):270-2.","Vet Rec.  1986","PubMed","citation","PMID:3962100","pubmed","3962100","create date:1986/03/08 | first author:Feinsod FM",
"The Sudan dioch (Quelea quelea aethiopica) and Rift Valley fever.","/pubmed/3726986","Davies FG, Linthicum KJ.","Trans R Soc Trop Med Hyg. 1986;80(1):171-2. No abstract available. ","Trans R Soc Trop Med Hyg.  1986","PubMed","citation","PMID:3726986","pubmed","3726986","create date:1986/01/01 | first author:Davies FG",
"Enhanced mosquito blood-finding success on parasitemic hosts: evidence for vector-parasite mutualism.","/pubmed/3865192","Rossignol PA, Ribeiro JM, Jungery M, Turell MJ, Spielman A, Bailey CL.","Proc Natl Acad Sci U S A. 1985 Nov;82(22):7725-7.","Proc Natl Acad Sci U S A.  1985","PubMed","citation","PMID:3865192 | PMCID:PMC391406","pubmed","3865192","create date:1985/11/01 | first author:Rossignol PA",
"Effect of extrinsic incubation temperature on the ability of Aedes taeniorhynchus and Culex pipiens to transmit Rift Valley fever virus.","/pubmed/3834803","Turell MJ, Rossi CA, Bailey CL.","Am J Trop Med Hyg. 1985 Nov;34(6):1211-8.","Am J Trop Med Hyg.  1985","PubMed","citation","PMID:3834803","pubmed","3834803","create date:1985/11/01 | first author:Turell MJ",
"Investigations following initial recognition of Crimean-Congo haemorrhagic fever in South Africa and the diagnosis of 2 further cases.","/pubmed/3933132","Swanepoel R, Shepherd AJ, Leman PA, Shepherd SP.","S Afr Med J. 1985 Oct 26;68(9):638-41.","S Afr Med J.  1985","PubMed","citation","PMID:3933132","pubmed","3933132","create date:1985/10/26 | first author:Swanepoel R",
"Mutagen-directed attenuation of Rift Valley fever virus as a method for vaccine development.","/pubmed/4045430","Caplen H, Peters CJ, Bishop DH.","J Gen Virol. 1985 Oct;66 ( Pt 10):2271-7.","J Gen Virol.  1985","PubMed","citation","PMID:4045430","pubmed","4045430","create date:1985/10/01 | first author:Caplen H",
"Prophylactic and therapeutic efficacy of poly(I,C)-LC against Rift Valley fever virus infection in mice.","/pubmed/2416883","Kende M.","J Biol Response Mod. 1985 Oct;4(5):503-11.","J Biol Response Mod.  1985","PubMed","citation","PMID:2416883","pubmed","2416883","create date:1985/10/01 | first author:Kende M",
"Synthesis and biological activity of 5-thiobredinin and certain related 5-substituted imidazole-4-carboxamide ribonucleosides.","/pubmed/2993613","Wood SG, Upadhya KG, Dalley NK, McKernan PA, Canonico PG, Robins RK, Revankar GR.","J Med Chem. 1985 Sep;28(9):1198-203.","J Med Chem.  1985","PubMed","citation","PMID:2993613","pubmed","2993613","create date:1985/09/01 | first author:Wood SG",
"Isolation of Rift Valley fever virus from cattle abortions in Tanzania.","/pubmed/4060243","Kondela A, Loretu K, Mella PN.","Trop Anim Health Prod. 1985 Aug;17(3):185-6. No abstract available. ","Trop Anim Health Prod.  1985","PubMed","citation","PMID:4060243","pubmed","4060243","create date:1985/08/01 | first author:Kondela A",
"Rift Valley fever virus (family Bunyaviridae, genus Phlebovirus). Isolations from Diptera collected during an inter-epizootic period in Kenya.","/pubmed/2862206","Linthicum KJ, Davies FG, Kairo A, Bailey CL.","J Hyg (Lond). 1985 Aug;95(1):197-209.","J Hyg (Lond).  1985","PubMed","citation","PMID:2862206 | PMCID:PMC2129511","pubmed","2862206","create date:1985/08/01 | first author:Linthicum KJ",
"Complete sequences of the glycoproteins and M RNA of Punta Toro phlebovirus compared to those of Rift Valley fever virus.","/pubmed/2998043","Ihara T, Smith J, Dalrymple JM, Bishop DH.","Virology. 1985 Jul 15;144(1):246-59.","Virology.  1985","PubMed","citation","PMID:2998043","pubmed","2998043","create date:1985/07/15 | first author:Ihara T",
"Complete nucleotide sequence of the M RNA segment of Rift Valley fever virus.","/pubmed/2998042","Collett MS, Purchio AF, Keegan K, Frazier S, Hays W, Anderson DK, Parker MD, Schmaljohn C, Schmidt J, Dalrymple JM.","Virology. 1985 Jul 15;144(1):228-45.","Virology.  1985","PubMed","citation","PMID:2998042","pubmed","2998042","create date:1985/07/15 | first author:Collett MS",
"Rift Valley fever virus vaccine trial: study of neutralizing antibody response in humans.","/pubmed/4036271","Niklasson B, Peters CJ, Bengtsson E, Norrby E.","Vaccine. 1985 Jun;3(2):123-7.","Vaccine.  1985","PubMed","citation","PMID:4036271","pubmed","4036271","create date:1985/06/01 | first author:Niklasson B",
"A Rift Valley fever vaccine trial: 2. Serological response to booster doses with a comparison of intradermal versus subcutaneous injection.","/pubmed/4036270","Kark JD, Aynor Y, Peters CJ.","Vaccine. 1985 Jun;3(2):117-22.","Vaccine.  1985","PubMed","citation","PMID:4036270","pubmed","4036270","create date:1985/06/01 | first author:Kark JD",
"Enhanced efficacy of liposome-encapsulated ribavirin against Rift Valley fever virus infection in mice.","/pubmed/4026264","Kende M, Alving CR, Rill WL, Swartz GM Jr, Canonico PG.","Antimicrob Agents Chemother. 1985 Jun;27(6):903-7.","Antimicrob Agents Chemother.  1985","PubMed","citation","PMID:4026264 | PMCID:PMC180183","pubmed","4026264","create date:1985/06/01 | first author:Kende M",
"Culex pipiens (Diptera: Culicidae) morbidity and mortality associated with Rift Valley fever virus infection.","/pubmed/4009630","Turell MJ, Gargan TP 2nd, Bailey CL.","J Med Entomol. 1985 May 24;22(3):332-7. No abstract available. ","J Med Entomol.  1985","PubMed","citation","PMID:4009630","pubmed","4009630","create date:1985/05/24 | first author:Turell MJ",
"Rift Valley fever in Kenya: the presence of antibody to the virus in camels (Camelus dromedarius).","/pubmed/3989285","Davies FG, Koros J, Mbugua H.","J Hyg (Lond). 1985 Apr;94(2):241-4.","J Hyg (Lond).  1985","PubMed","citation","PMID:3989285 | PMCID:PMC2129413","pubmed","3989285","create date:1985/04/01 | first author:Davies FG",
"Prevalence of hepatitis virus and some arbovirus infections in Kavango, northern SWA/Namibia.","/pubmed/3983734","Joubert JJ, Prozesky OW, Lourens JG, van Straten AM, Theron JW, Swanevelder C, Meenehan GM, van der Merwe CA.","S Afr Med J. 1985 Mar 30;67(13):500-2.","S Afr Med J.  1985","PubMed","citation","PMID:3983734","pubmed","3983734","create date:1985/03/30 | first author:Joubert JJ",
"Enzyme-linked immunosorbent assay for detection of Rift Valley fever virus antigen in mosquitoes.","/pubmed/3985279","Niklasson BS, Gargan TP 2nd.","Am J Trop Med Hyg. 1985 Mar;34(2):400-5.","Am J Trop Med Hyg.  1985","PubMed","citation","PMID:3985279","pubmed","3985279","create date:1985/03/01 | first author:Niklasson BS",
"Arthropod-borne virus zoonosis surveillance in the Cape Province: 1. Prospective serological investigations for virus activity in the Beaufort West and Middelburg Districts during 1981.","/pubmed/2987499","van der Riet FD, Sayed AR, Barnard BJ, van Tonder EM, Crouse WJ.","J S Afr Vet Assoc. 1985 Mar;56(1):25-9.","J S Afr Vet Assoc.  1985","PubMed","citation","PMID:2987499","pubmed","2987499","create date:1985/03/01 | first author:van der Riet FD",
"A blood meal analysis of engorged mosquitoes found in Rift Valley fever epizootics area in Kenya.","/pubmed/2906661","Linthicum KJ, Kaburia HF, Davies FG, Lindqvist KJ.","J Am Mosq Control Assoc. 1985 Mar;1(1):93-5. No abstract available. ","J Am Mosq Control Assoc.  1985","PubMed","citation","PMID:2906661","pubmed","2906661","create date:1985/03/01 | first author:Linthicum KJ",
"Crimean-Congo haemorrhagic fever and Rift Valley fever in south-eastern Mauritania.","/pubmed/2857020","Saluzzo JF, Digoutte JP, Camicas JL, Chauvancy G.","Lancet. 1985 Jan 12;1(8420):116. No abstract available. ","Lancet.  1985","PubMed","citation","PMID:2857020","pubmed","2857020","create date:1985/01/12 | first author:Saluzzo JF",
"RDB--a new product of plant origin for cell culture dispersion.","/pubmed/4043538","Ben-Nathan D, Barzilai R, Lazar A, Shahar A.","Dev Biol Stand. 1985;60:467-73.","Dev Biol Stand.  1985","PubMed","citation","PMID:4043538","pubmed","4043538","create date:1985/01/01 | first author:Ben-Nathan D",
"Mechanical transmission of Rift Valley fever virus by hematophagous Diptera.","/pubmed/3970308","Hoch AL, Gargan TP 2nd, Bailey CL.","Am J Trop Med Hyg. 1985 Jan;34(1):188-93.","Am J Trop Med Hyg.  1985","PubMed","citation","PMID:3970308","pubmed","3970308","create date:1985/01/01 | first author:Hoch AL",
"Rainfall and epizootic Rift Valley fever.","/pubmed/3879206","Davies FG, Linthicum KJ, James AD.","Bull World Health Organ. 1985;63(5):941-3.","Bull World Health Organ.  1985","PubMed","citation","PMID:3879206 | PMCID:PMC2536443","pubmed","3879206","create date:1985/01/01 | first author:Davies FG",
"[Recent data on hemorrhagic fevers in West Africa].","/pubmed/3836774","Digoutte JP, Saluzzo JF, Adam F.","Bull Soc Pathol Exot Filiales. 1985;78(5 Pt 2):874-8. French. ","Bull Soc Pathol Exot Filiales.  1985","PubMed","citation","PMID:3836774","pubmed","3836774","create date:1985/01/01 | first author:Digoutte JP",
"Efficacy, toxicology and clinical applications of ribavirin against virulent RNA viral infections.","/pubmed/2867737","Canonico PG.","Antiviral Res. 1985;Suppl 1:75-81. No abstract available. ","Antiviral Res.  1985","PubMed","citation","PMID:2867737","pubmed","2867737","create date:1985/01/01 | first author:Canonico PG",
"Viral haemorrhagic fevers. Report of a WHO Expert Committee.","/pubmed/2867649","[No authors listed]","World Health Organ Tech Rep Ser. 1985;721:5-126. No abstract available. ","World Health Organ Tech Rep Ser.  1985","PubMed","citation","PMID:2867649","pubmed","2867649","create date:1985/01/01",
"Rift Valley fever in Chisamba, Zambia.","/pubmed/6600051","Watts TE, Tembo G, Ng'andu NH.","Med J Zambia. 1984 Dec;18(4):10-1. No abstract available. ","Med J Zambia.  1984","PubMed","citation","PMID:6600051","pubmed","6600051","create date:1984/12/01 | first author:Watts TE",
"Preliminary survey of domestic animals of the Sudan for precipitating antibodies to Rift Valley fever virus.","/pubmed/6512261","Eisa M.","J Hyg (Lond). 1984 Dec;93(3):629-37.","J Hyg (Lond).  1984","PubMed","citation","PMID:6512261 | PMCID:PMC2129467","pubmed","6512261","create date:1984/12/01 | first author:Eisa M",
"Increased mosquito feeding on Rift Valley fever virus-infected lambs.","/pubmed/6150656","Turell MJ, Bailey CL, Rossi CA.","Am J Trop Med Hyg. 1984 Nov;33(6):1232-8.","Am J Trop Med Hyg.  1984","PubMed","citation","PMID:6150656","pubmed","6150656","create date:1984/11/01 | first author:Turell MJ",
"Synergistic antiviral effects of ribavirin and the C-nucleoside analogs tiazofurin and selenazofurin against togaviruses, bunyaviruses, and arenaviruses.","/pubmed/6151377","Huggins JW, Robins RK, Canonico PG.","Antimicrob Agents Chemother. 1984 Oct;26(4):476-80.","Antimicrob Agents Chemother.  1984","PubMed","citation","PMID:6151377 | PMCID:PMC179947","pubmed","6151377","create date:1984/10/01 | first author:Huggins JW",
"Enhanced arboviral transmission by mosquitoes that concurrently ingested microfilariae.","/pubmed/6474165","Turell MJ, Rossignol PA, Spielman A, Rossi CA, Bailey CL.","Science. 1984 Sep 7;225(4666):1039-41.","Science.  1984","PubMed","citation","PMID:6474165","pubmed","6474165","create date:1984/09/07 | first author:Turell MJ",
"Active and passive immunization against Rift Valley fever virus infection in Syrian hamsters.","/pubmed/6507105","Niklasson BS, Meadors GF, Peters CJ.","Acta Pathol Microbiol Immunol Scand C. 1984 Aug;92(4):197-200.","Acta Pathol Microbiol Immunol Scand C.  1984","PubMed","citation","PMID:6507105","pubmed","6507105","create date:1984/08/01 | first author:Niklasson BS",
"In-vivo activity of antivirals against exotic RNA viral infections.","/pubmed/6208183","Canonico PG, Kende M, Luscri BJ, Huggins JW.","J Antimicrob Chemother. 1984 Aug;14 Suppl A:27-41.","J Antimicrob Chemother.  1984","PubMed","citation","PMID:6208183","pubmed","6208183","create date:1984/08/01 | first author:Canonico PG",
"Isolation of Crimean-Congo haemorrhagic fever and Rift Valley fever viruses in Upper Volta.","/pubmed/6144896","Saluzzo JF, Digoutte JP, Cornet M, Baudon D, Roux J, Robert V.","Lancet. 1984 May 26;1(8387):1179. No abstract available. ","Lancet.  1984","PubMed","citation","PMID:6144896","pubmed","6144896","create date:1984/05/26 | first author:Saluzzo JF",
"Protein synthesis in Rift Valley fever virus-infected cells.","/pubmed/6710870","Struthers JK, Swanepoel R, Shepherd SP.","Virology. 1984 Apr 15;134(1):118-24.","Virology.  1984","PubMed","citation","PMID:6710870","pubmed","6710870","create date:1984/04/15 | first author:Struthers JK",
"Replication of Rift Valley fever virus in the sand fly Lutzomyia longipalpis.","/pubmed/6711746","Hoch AL, Turell MJ, Bailey CL.","Am J Trop Med Hyg. 1984 Mar;33(2):295-9.","Am J Trop Med Hyg.  1984","PubMed","citation","PMID:6711746","pubmed","6711746","create date:1984/03/01 | first author:Hoch AL",
"[Rift Valley fever].","/pubmed/6145273","Drozdov SG.","Zh Mikrobiol Epidemiol Immunobiol. 1984 Mar;(3):3-9. Review. Russian.  No abstract available. ","Zh Mikrobiol Epidemiol Immunobiol.  1984","PubMed","citation","PMID:6145273","pubmed","6145273","create date:1984/03/01 | first author:Drozdov SG",
"Detection of human immunoglobulins G and M antibodies to Rift Valley fever virus by enzyme-linked immunosorbent assay.","/pubmed/6538206","Niklasson B, Peters CJ, Grandien M, Wood O.","J Clin Microbiol. 1984 Feb;19(2):225-9.","J Clin Microbiol.  1984","PubMed","citation","PMID:6538206 | PMCID:PMC271026","pubmed","6538206","create date:1984/02/01 | first author:Niklasson B",
"Replication and dissemination of Rift Valley fever virus in Culex pipiens.","/pubmed/6696176","Turell MJ, Gargan TP 2nd, Bailey CL.","Am J Trop Med Hyg. 1984 Jan;33(1):176-81.","Am J Trop Med Hyg.  1984","PubMed","citation","PMID:6696176","pubmed","6696176","create date:1984/01/01 | first author:Turell MJ",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"[Rift valley fever and Zinga virus: a pathogenic arbovirus in man and animal new for Madagascar].","/pubmed/6534285","Mathiot C, Ribot JJ, Clerc Y, Coulanges P, Rasolofonirina N.","Arch Inst Pasteur Madagascar. 1984;51(1):125-33. French. ","Arch Inst Pasteur Madagascar.  1984","PubMed","citation","PMID:6534285","pubmed","6534285","create date:1984/01/01 | first author:Mathiot C",
"The effect of laboratory colonization on the vector-pathogen interactions of Egyptian Culex pipiens and Rift Valley fever virus.","/pubmed/6625070","Gargan TP 2nd, Bailey CL, Higbee GA, Gad A, El Said S.","Am J Trop Med Hyg. 1983 Sep;32(5):1154-63.","Am J Trop Med Hyg.  1983","PubMed","citation","PMID:6625070","pubmed","6625070","create date:1983/09/01 | first author:Gargan TP 2nd",
"Broad-spectrum antiviral activity of 2-beta-D-ribofuranosylselenazole-4-carboxamide, a new antiviral agent.","/pubmed/6615611","Kirsi JJ, North JA, McKernan PA, Murray BK, Canonico PG, Huggins JW, Srivastava PC, Robins RK.","Antimicrob Agents Chemother. 1983 Sep;24(3):353-61.","Antimicrob Agents Chemother.  1983","PubMed","citation","PMID:6615611 | PMCID:PMC185325","pubmed","6615611","create date:1983/09/01 | first author:Kirsi JJ",
"Characterization of eight new phlebotomus fever serogroup arboviruses (Bunyaviridae: Phlebovirus) from the Amazon region of Brazil.","/pubmed/6312820","Travassos da Rosa AP, Tesh RB, Pinheiro FP, Travassos da Rosa JF, Peterson NE.","Am J Trop Med Hyg. 1983 Sep;32(5):1164-71.","Am J Trop Med Hyg.  1983","PubMed","citation","PMID:6312820","pubmed","6312820","create date:1983/09/01 | first author:Travassos da Rosa AP",
"Biting midges (Diptera: Ceratopogonidae) and human health.","/pubmed/6312046","Linley JR, Hoch AL, Pinheiro FP.","J Med Entomol. 1983 Jul 21;20(4):347-64. Review. No abstract available. ","J Med Entomol.  1983","PubMed","citation","PMID:6312046","pubmed","6312046","create date:1983/07/21 | first author:Linley JR",
"Serological evidence of endemic Zinga virus and Rift Valley Fever virus in Central African Republic.","/pubmed/6134127","Georges AJ, Wahid SA, Meunier DY, Georges MC, Saluzzo JF, Peters CJ, McCormick JB, Gonzalez JP.","Lancet. 1983 Jun 11;1(8337):1338. No abstract available. ","Lancet.  1983","PubMed","citation","PMID:6134127","pubmed","6134127","create date:1983/06/11 | first author:Georges AJ",
